timestamp,location_id,avg_speed
2025-06-11 15:20:09.719847,OMR,42.0
2025-06-11 16:20:09.719847,OMR,27.23
2025-06-11 17:20:09.719847,OMR,15.31
2025-06-11 18:20:09.719847,OMR,22.41
2025-06-11 19:20:09.719847,OMR,20.83
2025-06-11 20:20:09.719847,OMR,30.94
2025-06-11 21:20:09.719847,OMR,34.61
2025-06-11 22:20:09.719847,OMR,45.57
2025-06-11 23:20:09.719847,OMR,48.99
2025-06-12 00:20:09.719847,OMR,46.65
2025-06-12 01:20:09.719847,OMR,45.13
2025-06-12 02:20:09.719847,OMR,47.4
2025-06-12 03:20:09.719847,OMR,51.59
2025-06-12 04:20:09.719847,OMR,48.88
2025-06-12 05:20:09.719847,OMR,44.2
2025-06-12 06:20:09.719847,OMR,45.44
2025-06-12 07:20:09.719847,OMR,41.98
2025-06-12 08:20:09.719847,OMR,21.83
2025-06-12 09:20:09.719847,OMR,14.72
2025-06-12 10:20:09.719847,OMR,25.65
2025-06-12 11:20:09.719847,OMR,26.2
2025-06-12 12:20:09.719847,OMR,41.58
2025-06-12 13:20:09.719847,OMR,39.12
2025-06-12 14:20:09.719847,OMR,37.69
2025-06-12 15:20:09.719847,OMR,34.34
2025-06-12 16:20:09.719847,OMR,28.99
2025-06-12 17:20:09.719847,OMR,22.69
2025-06-12 18:20:09.719847,OMR,22.96
2025-06-12 19:20:09.719847,OMR,15.71
2025-06-12 20:20:09.719847,OMR,24.5
2025-06-12 21:20:09.719847,OMR,35.2
2025-06-12 22:20:09.719847,OMR,47.31
2025-06-12 23:20:09.719847,OMR,49.17
2025-06-13 00:20:09.719847,OMR,51.76
2025-06-13 01:20:09.719847,OMR,53.61
2025-06-13 02:20:09.719847,OMR,13.72
2025-06-13 03:20:09.719847,OMR,51.89
2025-06-13 04:20:09.719847,OMR,51.03
2025-06-13 05:20:09.719847,OMR,44.48
2025-06-13 06:20:09.719847,OMR,44.9
2025-06-13 07:20:09.719847,OMR,38.72
2025-06-13 08:20:09.719847,OMR,14.38
2025-06-13 09:20:09.719847,OMR,17.0
2025-06-13 10:20:09.719847,OMR,27.62
2025-06-13 11:20:09.719847,OMR,25.97
2025-06-13 12:20:09.719847,OMR,39.62
2025-06-13 13:20:09.719847,OMR,38.1
2025-06-13 14:20:09.719847,OMR,37.43
2025-06-13 15:20:09.719847,OMR,36.77
2025-06-13 16:20:09.719847,OMR,22.32
2025-06-13 17:20:09.719847,OMR,20.11
2025-06-13 18:20:09.719847,OMR,18.83
2025-06-13 19:20:09.719847,OMR,16.24
2025-06-13 20:20:09.719847,OMR,28.8
2025-06-13 21:20:09.719847,OMR,33.26
2025-06-13 22:20:09.719847,OMR,45.35
2025-06-13 23:20:09.719847,OMR,51.82
2025-06-14 00:20:09.719847,OMR,62.2
2025-06-14 01:20:09.719847,OMR,55.35
2025-06-14 02:20:09.719847,OMR,58.88
2025-06-14 03:20:09.719847,OMR,62.45
2025-06-14 04:20:09.719847,OMR,54.59
2025-06-14 05:20:09.719847,OMR,57.76
2025-06-14 06:20:09.719847,OMR,18.63
2025-06-14 07:20:09.719847,OMR,45.1
2025-06-14 08:20:09.719847,OMR,19.72
2025-06-14 09:20:09.719847,OMR,20.87
2025-06-14 10:20:09.719847,OMR,19.23
2025-06-14 11:20:09.719847,OMR,23.03
2025-06-14 12:20:09.719847,OMR,34.71
2025-06-14 13:20:09.719847,OMR,27.51
2025-06-14 14:20:09.719847,OMR,28.0
2025-06-14 15:20:09.719847,OMR,25.36
2025-06-14 16:20:09.719847,OMR,31.52
